nombre|plataforma|año|genero|publisher|ventas_globales
Call of Duty: Black Ops 3|PS4|2015|Shooter|Activision|14.24
FIFA 16|PS4|2015|Sports|Electronic Arts|8.49
Star Wars Battlefront (2015)|PS4|2015|Shooter|Electronic Arts|7.67
Call of Duty: Black Ops 3|XOne|2015|Shooter|Activision|7.3
Fallout 4|PS4|2015|Role-Playing|Bethesda Softworks|6.96
FIFA 17|PS4|2016|Sports|Electronic Arts|4.77
Uncharted: The Nathan Drake Collection|PS4|2015|Action|Sony Computer Entertainment|4.47
Halo 5: Guardians|XOne|2015|Shooter|Microsoft Game Studios|4.26
Uncharted 4: A Thief's End|PS4|2016|Shooter|Sony Computer Entertainment|4.2
Fallout 4|XOne|2015|Role-Playing|Bethesda Softworks|4.09
NBA 2K16|PS4|2015|Sports|Take-Two Interactive|3.85
Batman: Arkham Knight|PS4|2015|Action|Warner Bros. Interactive Entertainment|3.79
The Witcher 3: Wild Hunt|PS4|2015|Role-Playing|Namco Bandai Games|3.73
Tom Clancy's The Division|PS4|2016|Shooter|Ubisoft|3.61
Star Wars Battlefront (2015)|XOne|2015|Shooter|Electronic Arts|3.49
Metal Gear Solid V: The Phantom Pain|PS4|2015|Action|Konami Digital Entertainment|3.38
Assassin's Creed Syndicate|PS4|2015|Action|Ubisoft|3.28
FIFA 16|XOne|2015|Sports|Electronic Arts|3.23
Madden NFL 16|PS4|2015|Sports|Electronic Arts|3.22
Gears of War: Ultimate Edition|XOne|2015|Shooter|Microsoft Game Studios|3.0
FIFA 16|PS3|2015|Sports|Electronic Arts|2.85
Mortal Kombat X|PS4|2015|Fighting|Warner Bros. Interactive Entertainment|2.7
Madden NFL 16|XOne|2015|Sports|Electronic Arts|2.4
Need for Speed (2015)|PS4|2015|Racing|Electronic Arts|2.39
Bloodborne|PS4|2015|Action|Sony Computer Entertainment|2.38
NBA 2K16|XOne|2015|Sports|Take-Two Interactive|2.32
Tom Clancy's Rainbow Six: Siege|PS4|2015|Shooter|Ubisoft|2.15
Far Cry: Primal|PS4|2016|Action|Ubisoft|2.13
Battlefield: Hardline|PS4|2015|Shooter|Electronic Arts|2.09
Tom Clancy's The Division|XOne|2016|Shooter|Ubisoft|2.01
Destiny: The Taken King|PS4|2015|Shooter|Activision|1.91
Just Cause 3|PS4|2015|Action|Square Enix|1.83
Call of Duty: Black Ops 3|PS3|2015|Shooter|Activision|1.79
Call of Duty: Black Ops 3|X360|2015|Shooter|Activision|1.76
Forza Motorsport 6|XOne|2015|Racing|Microsoft Game Studios|1.74
Overwatch|PS4|2016|Shooter|Activision|1.73
