ubicacion,tipo de producto,descripcion del producto,cantidad,precio
Toluca,herramientas,llave inglesa,40,120.0
Toluca,electricidad,enchufe triple,75,30.0
Metepec,herramientas,alicate,15,250.0
Metepec,materiales de construcción,bloque de concreto,200,12.0
Toluca,plomería,tubo de PVC,100,45.0
Metepec,plomería,codo de cobre,50,25.0
Toluca,electricidad,interruptor de luz,80,55.0
Metepec,materiales de construcción,saco de cemento,30,140.0
Toluca,herramientas,serrucho de mano,60,80.0
Metepec,herramientas,destornillador,90,35.0
